KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
whats the app house party,10,10,320,3100%,Technology - Apps - Chat - Video - Question,Entertainment
cocktail builder app,50,170,3600,2018%,Technology - Apps - Bartending,Health & Safety
what is houseparty the app,40,50,590,1080%,Technology - Apps - Chat - Video - Question,Entertainment
drink ingredients app,70,50,320,540%,Technology - Apps - Alcohol - Bartending,Entertainment
home office accessories,880,2900,18100,524%,Technology - Remote Work - Office,Health & Safety
drink maker app,140,320,1600,400%,Technology - Apps - Alcohol - Bartending,Entertainment
house party app game,10,12100,60500,400%,Technology - Apps - Chat - Video,Entertainment
free house party app,10,50,210,320%,Technology - Apps - Chat - Video,Entertainment
drink mixer app,260,390,1600,310%,Technology - Apps - Alcohol - Bartending,Entertainment
app that makes recipes from ingredients,10,10,40,300%,Technology - Apps - Cooking - Recipe,Health & Safety
best bartender app for iphone,10,10,40,300%,Technology - Apps - Bartending,Health & Safety
facetime group chat app,10,10,40,300%,Technology - Apps - Chat,Communication
facetime video chat,260,1000,3600,260%,Technology - Apps - Chat - Video,Health & Safety
alcohol delivery near me app,10,20,70,250%,Technology - Apps - Alcohol - Delivery,Health & Safety
digital cookbook app,30,50,170,240%,Technology - Apps - Cooking - Books,Health & Safety
sign up for houseparty,10,50,170,240%,Technology - Apps - Chat - Video,Entertainment
house party review,140,1600,5400,238%,Technology - Apps - Chat - Video,Entertainment
what is house party,1300,9900,33100,234%,Technology - Apps - Chat - Video - Question,Entertainment
virtual dating apps,70,390,1300,233%,Technology - Dating,Health & Safety
apps for alcoholic drinks,10,10,30,200%,Technology - Apps - Alcohol - Bartending,Entertainment
best virtual date games,10,10,30,200%,Technology - Dating,Entertainment
home office it setup,10,10,30,200%,Technology - Remote Work - Office,Health & Safety
how do i cancel a subscription on app store,10,10,30,200%,Technology - Subscriptions - Cancel - Question,Financial Hardship
recipe book app free,10,10,30,200%,Technology - Apps - Cooking - Books - Recipe,Health & Safety
what is virtual dating,10,90,260,189%,Technology - Dating - Question,Health & Safety
how to share screen on houseparty,50,210,590,181%,Technology - Apps - Chat - Video - QuestionQuestion,Entertainment
electronic recipe book,70,50,140,180%,Technology - Apps - Cooking - Books - Recipe,Health & Safety
free video call online,1900,2900,8100,179%,Technology - Apps - Chat - Video,Health & Safety
get house party,30,2900,8100,179%,Technology - Apps - Chat - Video,Entertainment
can you get houseparty on a computer,10,140,390,179%,Technology - Apps - Chat - Video,Entertainment
get facetime app,40,140,390,179%,Technology - Apps - Chat - Video,Health & Safety
is houseparty safe,140,1300,3600,177%,Technology - Apps - Chat - Video,Entertainment
dangers of houseparty app,10,40,110,175%,Technology - Apps - Chat - Video,Entertainment
digital cookbook,320,320,880,175%,Technology - Apps - Cooking - Books,Health & Safety
family recipe sharing app,20,40,110,175%,Technology - Apps - Cooking - Recipe,Health & Safety
home office decor tips,20,40,110,175%,Technology - Remote Work - Office,Health & Safety
virtual date ideas,260,9900,27100,174%,Technology - Dating,Health & Safety
house party video,260,880,2400,173%,Technology - Apps - Chat - Video,Entertainment
video chat with games,10,590,1600,171%,Technology - Apps - Chat - Video,Health & Safety
how to screen share on houseparty,140,390,1000,156%,Technology - Apps - Chat - Video - QuestionQuestion,Entertainment
best digital cookbook,10,20,50,150%,Technology - Apps - Cooking - Books,Health & Safety
what should i make for dinner app,30,20,50,150%,Technology - Apps - Cooking - Question,Health & Safety
best mixed drink app,50,70,170,143%,Technology - Apps - Alcohol - Bartending,Entertainment
drink recipe app,90,110,260,136%,Technology - Apps - Recipe - Bartending,Entertainment
shopper app instacart,50,110,260,136%,Technology - Apps,Health & Safety
video chat discord app,10,110,260,136%,Technology - Apps - Chat - Video,Health & Safety
best drink making app,10,30,70,133%,Technology - Apps - Alcohol - Bartending,Entertainment
best liquor apps,30,30,70,133%,Technology - Apps - Alcohol,Health & Safety
how to cancel times subscription,50,30,70,133%,Technology - Subscriptions - Cancel - Question,Financial Hardship
ideas for home office setup,10,30,70,133%,Technology - Remote Work - Office,Health & Safety
house party call,30,210,480,129%,Technology - Apps - Chat - Video,Entertainment
houseparty online,1300,2900,6600,128%,Technology - Apps - Chat - Video,Entertainment
instacart delivery app,110,390,880,126%,Technology - Apps - Grocery - Delivery,Health & Safety
byju's app download,50,40,90,125%,Technology - Apps - Chat - Video,Health & Safety
free video phone calls,10,40,90,125%,Technology - Apps - Chat - Video,Health & Safety
fresh direct promo code,720,3600,8100,125%,Technology - Apps - Grocery,Health & Safety
house party game app,20,1600,3600,125%,Technology - Apps - Chat - Video,Entertainment
what is the houseparty app,170,2400,5400,125%,Technology - Apps - Chat - Video - Question,Entertainment
how to use houseparty,110,5400,12100,124%,Technology - Apps - Chat - Video - QuestionQuestion,Entertainment
house party app review,210,12100,27100,124%,Technology - Apps - Chat - Video,Entertainment
house party app reviews,210,12100,27100,124%,Technology - Apps - Chat - Video,Entertainment
the app house party,12100,368000,823000,124%,Technology - Apps - Chat - Video,Entertainment
house party,201000,823000,1830000,122%,Technology - Apps - Chat - Video,Entertainment
cocktail app,390,720,1600,122%,Technology - Apps - Bartending,Health & Safety
best app for alcohol delivery,20,50,110,120%,Technology - App - Grocery - Alcohol - Delivery,Health & Safety
best drink recipe app,30,50,110,120%,Technology - Apps - Alcohol - Recipe - Bartending,Entertainment
new video call app,20,50,110,120%,Technology - Apps - Chat - Video,Health & Safety
best cocktail app,320,480,1000,108%,Technology - Apps - Bartending,Health & Safety
app based delivery services,10,10,20,100%,Technology - Apps - Delivery,Health & Safety
app that you can put ingredients,10,20,40,100%,Technology - Apps - Cooking,Health & Safety
app to bring groceries,10,10,20,100%,Technology - Apps - Grocery,Health & Safety
app to make recipes,10,10,20,100%,Technology - Apps - Cooking - Recipe,Health & Safety
best baking apps,30,70,140,100%,Technology - Apps - Cooking,Health & Safety
best diet recipe app,10,10,20,100%,Technology - Apps - Cooking - Recipe,Health & Safety
best free cookbook app,20,10,20,100%,Technology - Apps - Cooking - Books,Health & Safety
best inexpensive home computer,10,10,20,100%,Technology - Remote Work,Health & Safety
best mixed drink app for iphone,20,10,20,100%,Technology - Apps - Alcohol - Bartending,Entertainment
best recipe sharing app,10,20,40,100%,Technology - Apps - Cooking - Recipe,Health & Safety
best vegetarian cooking apps,10,10,20,100%,Technology - Apps - Cooking,Health & Safety
cookbook app android,10,10,20,100%,Technology - Apps - Cooking - Books,Health & Safety
cooking app where you can enter ingredients,10,20,40,100%,Technology - Apps - Cooking,Health & Safety
digital recipe app,10,10,20,100%,Technology - Apps - Cooking - Recipe,Health & Safety
food delivery apps that work near me,20,10,20,100%,Technology - Apps - Delivery - Food,Health & Safety
